Element,Ion_rad,BP,MP,Density,At_wt,Cov_rad,Ion_Energy,Elec_Aff,At_vol,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Ox_state
Pd,0.64,3240.00,1825.00,12.00,106.42,1.28,805.00,60.00,8.90,11.80,0.24,71.80,10.00,16.74,393.30,2.20,46,5,10,2
Ag,1.15,2436.00,1235.08,10.50,107.87,1.34,731.00,125.70,10.30,18.90,0.23,429.00,62.90,11.30,250.63,1.93,47,5,11,1
Cd,0.95,1040.00,594.26,8.65,112.41,1.41,867.70,0.00,13.10,30.80,0.23,96.80,14.70,6.07,99.87,1.69,48,5,12,2
La,1.16,3737.00,1191.00,6.15,138.91,1.25,538.10,50.00,20.73,5.20,0.19,13.50,1.90,11.30,399.57,1.10,57,6,3,3
Hf,0.83,4875.00,2504.00,13.31,178.49,1.44,642.00,0.00,13.60,5.90,0.14,23.00,3.40,21.76,661.07,1.30,72,6,4,4
Ta,0.64,5730.00,3293.00,16.65,180.95,1.34,761.00,60.00,10.90,6.30,0.14,57.50,8.10,36.00,737.00,1.50,73,6,5,5
W,0.60,5825.00,3695.00,19.30,183.85,1.30,770.00,60.00,9.53,4.50,0.13,174.00,18.20,35.40,422.58,2.36,74,6,6,6
Re,0.53,5870.00,3455.00,21.00,186.21,1.28,760.00,14.00,8.85,6.20,0.14,47.90,5.80,33.05,707.10,1.90,75,6,7,7
Os,0.63,5300.00,3300.00,22.60,190.20,1.26,840.00,110.00,8.49,5.10,0.13,87.60,12.30,29.29,627.60,2.20,76,6,8,4
Ir,0.63,4700.00,2720.00,22.60,192.22,1.27,880.00,150.00,8.54,6.40,0.13,147.00,21.30,26.36,563.58,2.20,77,6,9,4
Pt,0.63,4100.00,2042.10,21.45,195.08,1.30,870.00,205.30,9.10,8.80,0.13,71.60,9.40,19.66,510.45,2.28,78,6,10,4
Au,0.85,3130.00,1337.58,19.30,196.97,1.34,890.10,222.74,10.20,14.20,0.13,317.00,48.80,12.36,324.43,2.54,79,6,11,3
Hg,1.02,629.88,234.31,13.55,200.59,1.49,1007.00,0.00,14.82,49.00,0.14,8.34,1.00,2.29,59.30,2.00,80,6,12,2
Ce,1.14,3715.00,1071.00,6.77,140.12,1.65,527.80,50.00,20.67,5.20,0.19,11.40,1.40,9.20,313.80,1.12,58,6,3,3
Pr,1.13,3785.00,1204.00,6.77,140.91,1.65,523.00,50.00,20.80,5.40,0.19,12.50,1.50,10.04,332.63,1.13,59,6,3,3
Nd,1.29,3347.00,1294.00,7.01,144.24,1.64,530.00,50.00,20.60,6.90,0.19,16.50,1.60,10.88,283.68,1.14,60,6,3,3
Pm,1.09,3273.00,1315.00,7.22,145.00,1.63,535.00,50.00,22.39,0.00,0.19,17.90,2.00,7.70,290.00,1.13,61,6,3,3
Sm,1.08,2067.00,1347.00,2.75,150.36,1.62,543.00,50.00,19.95,0.00,0.20,13.30,1.10,11.09,191.63,1.17,62,6,3,3
Eu,1.07,1800.00,1095.00,5.24,151.97,1.85,547.00,50.00,28.90,41.00,0.18,13.90,1.10,10.46,175.73,1.20,63,6,3,3
Gd,1.05,3545.00,1585.00,7.90,157.25,1.61,592.00,50.00,19.90,-2.00,0.24,10.60,0.80,15.48,311.71,1.20,64,6,3,3
Tb,1.18,3500.00,1629.00,8.23,158.93,1.59,564.00,50.00,19.20,9.40,0.18,11.10,0.90,10.80,295.00,1.20,65,6,3,3
Dy,1.03,2840.00,1685.00,8.55,162.50,1.59,572.00,50.00,19.00,9.60,0.17,10.70,1.10,11.06,230.00,1.22,66,6,3,3
Ho,1.02,2968.00,1747.00,8.80,164.93,1.58,581.00,50.00,18.70,9.80,0.17,16.20,1.10,17.15,251.04,1.23,67,6,3,3
Er,1.00,3140.00,1802.00,9.07,167.26,1.57,589.00,50.00,18.40,9.40,0.17,14.30,1.20,17.15,292.88,1.24,68,6,3,3
Tm,1.09,2223.00,1818.00,9.32,168.93,1.56,596.00,50.00,18.10,12.00,0.16,16.80,1.30,16.80,191.00,1.25,69,6,3,3
Yb,0.99,1469.00,1092.00,6.97,173.04,1.70,603.00,50.00,24.79,25.10,0.15,34.90,3.70,7.70,128.00,1.10,70,6,3,3
Lu,0.98,3668.00,1936.00,9.84,174.97,1.56,524.00,50.00,17.78,8.20,0.15,16.40,1.50,18.60,355.00,1.27,71,6,3,3
